Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"SR";"CEN/TC 164";"EN 12873-1:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"38242";"00164506";"Voter";"Influence of materials on water intended for human consumption - Influence due to migration - Part 1: Test method for factory-made products made from or incorporating organic or glassy (porcelain/vitreous enamel) materials";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164001";""
"SR";"CEN/TC 164";"EN 13078:2003";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"7011";"00164105";"Voter";"Devices to prevent pollution by backflow of potable water - Air gap with submerged feed incorporating air inlet plus overflow - Family A, type C";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163953";""
"SR";"CEN/TC 164";"EN 14455:2005";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"7106";"00164200";"Voter";"Devices to prevent pollution by backflow of potable water - Presssurised air inlet valves DN 15 to DN 50 - Family L, type A and type B";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163947";""
"SR";"CEN/TC 164";"EN 14506:2005";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"21306";"00164251";"Voter";"Devices to prevent pollution by backflow of potable water - Automatic diverter - Family H, type C";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163960";""
"SR";"CEN/TC 164";"EN 14622:2005";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"21307";"00164252";"Voter";"Devices to prevent pollution by backflow of potable water - Air gap with circular overflow (restricted) - Family A, type F";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163961";""
"SR";"CEN/TC 164";"EN 14623:2005";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"21308";"00164253";"Voter";"Devices to prevent pollution by backflow of potable water - Air gaps with minimum circular overflow (verified by test or measurement) - Family A, type G";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163962";""
"SR";"CEN/TC 164";"EN 15092:2008";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"21309";"00164254";"Voter";"Building valves - Inline hot water supply tempering valves - Tests and requirements";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163963";""
"SR";"CEN/TC 164";"EN 15362:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"39570";"00164527";"Voter";"Chemicals used for treatment of swimming pool water - Sodium carbonate";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164009";""
"SR";"CEN/TC 164";"EN 15363:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"39571";"00164528";"Voter";"Chemicals used for treatment of swimming pool water - Chlorine";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164010";""
"SR";"CEN/TC 164";"EN 15513:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"39563";"00164520";"Voter";"Chemicals used for treatment of swimming pool water - Carbon dioxide";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164007";""
"SR";"CEN/TC 164";"EN 15514:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"39557";"00164514";"Voter";"Chemicals used for treatment of swimming pool water - Hydrochloric acid";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164006";""
"SR";"CEN/TC 164";"EN 16380:2013";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36419";"00164462";"Voter";"Chemicals used for treatment of swimming pool water - Potassium peroxomonosulfate";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163986";""
"SR";"CEN/TC 164";"EN 16381:2013";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36420";"00164463";"Voter";"Chemicals used for treatment of swimming pool water - Sodium peroxodisulfate";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163987";""
"SR";"CEN/TC 164";"EN 16399:2013";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36418";"00164461";"Voter";"Chemicals used for treatment of swimming pool water - Sodium thiosulfate";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163985";""
"SR";"CEN/TC 164";"EN 16400:2013";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36410";"00164453";"Voter";"Chemicals used for treatment of swimming pool water - Hydrogen peroxide";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163981";""
"SR";"CEN/TC 164";"EN 16401:2013";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36416";"00164459";"Voter";"Chemicals used for treatment of swimming pool water - Sodium chloride used for electrochlorinator systems";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163984";""
"SR";"CEN/TC 164";"EN 16409:2013";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36431";"00164474";"Voter";"Chemicals used for treatment of water intended for human consumption - Dolomitic lime";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163988";""
"SRTS";"CEN/TC 169";"CEN/TS 17165:2018";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"65072";"00169077";"Voter";"Light and lighting - Lighting system design process";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=164079";""
"SR";"CEN/TC 171";"EN 835:1994";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"7607";"00171002";"Voter";"Heat cost allocators for the determination of the consumption of room heating radiators - Appliances without an electrical energy supply, based on the evaporation principle";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163948";""
"SRTS";"CEN/TC 172";"CEN/TS 17830:2022";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"74536";"00172204";"Voter";"Paper and board - Guidance on the application of Term 2.2 ""Prohibited materials"" of EN 643:2014";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=164089";""
"SR";"CEN/TC 184";"EN 843-7:2010";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"33773";"00184224";"Voter";"Advanced technical ceramics - Mechanical properties of monolithic ceramics at room temperature - Part 7: C-ring tests";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163972";""
"SR";"CEN/TC 184";"EN 843-8:2010";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"33774";"00184225";"Voter";"Advanced technical ceramics - Mechanical properties of monolithic ceramics at room temperature - Part 8: Guidelines for conducting proof tests";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163973";""
"SR";"CEN/TC 188";"EN 12881-1:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"35088";"00188070";"Voter";"Conveyor belts - Fire simulation flammability testing - Part 1: Propane burner tests";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163991";""
"SRTS";"CEN/TC 191";"CEN/TS 12101-11:2022";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"69544";"00191344";"Voter";"Smoke and heat control systems - Part 11: Horizontal flow powered ventilation systems for enclosed car parks";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=164084";""
"SR";"CEN/TC 193";"EN 15307:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"40007";"00193289";"Voter";"Adhesives for leather and footwear materials - Sole-upper bonds - Minimum strength requirements";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164011";""
"SR";"CEN/TC 193";"EN 16556:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"37777";"00193264";"Voter";"Determination of the maximum open time for thermoplastic wood adhesives for non-structural applications";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163999";""
"SR";"CEN/TC 193";"EN 17408:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"67872";"00193344";"Voter";"Determination of the flowability and application behaviour of viscoelastic adhesives using the oscillatory rheometry";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164044";""
"SR";"CEN/TC 194";"EN 13834:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"69460";"00194149";"Voter";"Cookware - Ovenware for use in traditional domestic ovens";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164059";""
"SR";"CEN/TC 197";"EN 16644:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36108";"00197084";"Voter";"Pumps - Rotodynamic pumps - Glandless circulators having a rated power input not exceeding 200 W for heating installations and domestic hot water installations - Noise test code (vibro-acoustics) for measuring structure- and fluid-borne noise";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163977";""
"SR";"CEN/TC 203";"EN 14628-1:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"69959";"00203062";"Voter";"Ductile iron pipes, fittings and accessories - Requirements and test methods - Part 1: PE coatings";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164065";""
"SRTS";"CEN/TC 226";"CEN/TS 17812:2022";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"70344";"00226258";"Voter";"Determination of the acoustic properties of markings - The CPX measurement method";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=164080";""
"SR";"CEN/TC 226";"EN 12414:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"38681";"00226196";"Voter";"Vehicle parking control equipment - Requirements and test methods for a parking terminal";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164004";""
"SR";"CEN/TC 226";"EN 14388:2015";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"40403";"00226204";"Voter";"Road traffic noise reducing devices - Specifications";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164014";""
"SR";"CEN/TC 226";"EN 16303:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"60873";"00226230";"Voter";"Road restraint systems - Validation and verification process for the use of virtual testing in crash testing against vehicle restraint system";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164017";""
"SR";"CEN/TC 230";"EN 14614:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"62648";"00230345";"Voter";"Water quality - Guidance standard for assessing the hydromorphological features of rivers";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164030";""
"SR";"CEN/TC 240";"EN 15648:2009";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"27538";"00240040";"Voter";"Thermal spraying - Component related procedure qualification";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163995";""
"SR";"CEN/TC 240";"EN 17393:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"67968";"00240086";"Voter";"Thermal spraying - Tubular coating tensile test";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164061";""
"SR";"CEN/TC 245";"EN 722-1:2004";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"20767";"00245020";"Voter";"Leisure accommodation vehicles - Liquid fuel heating systems - Part 1: Caravans and caravan holiday homes";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163959";""
"SR";"CEN/TC 254";"EN 13111:2010";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"27697";"00254117";"Voter";"Flexible sheets for waterproofing - Underlays for discontinuous roofing and walls - Determination of resistance to water penetration";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163990";""
"SR";"CEN/TC 254";"EN 14224:2010";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"27686";"00254106";"Voter";"Flexible sheets for waterproofing - Waterproofing of concrete bridge decks and other concrete surfaces trafficable by vehicles - Determination of crack bridging ability";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163974";""
"SR";"CEN/TC 256";"EN 13715:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"65215";"00256855";"Voter";"Railway applications - Wheelsets and bogies - Wheels - Tread profile";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164066";""
"SR";"CEN/TC 256";"EN 17285:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"60645";"00256765";"Voter";"Railway applications - Acoustics - Measuring of door audible warnings";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164023";""
"SR";"CEN/TC 256";"EN 17355:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"67866";"00256912";"Voter";"Railway applications - Communication device for urban rail - System requirements";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164047";""
"SR";"CEN/TC 256";"EN 45545-2:2020+A1:2023";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"78270";"00256A3R";"Voter";"Railway applications - Fire protection on railway vehicles - Part 2: Requirements for fire behaviour of materials and components";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164068";""
"SR";"CEN/TC 262";"EN 12502-2:2004";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"13486";"00262130";"Voter";"Protection of metallic materials against corrosion - Guidance on the assessment of corrosion likelihood in water distribution and storage systems - Part 2: Influencing factors for copper and copper alloys";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163952";""
"SR";"CEN/TC 262";"EN 12502-3:2004";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"13502";"00262146";"Voter";"Protection of metallic materials against corrosion - Guidance on the assessment of corrosion likelihood in water distribution and storage systems - Part 3: Influencing factors for hot dip galvanised ferrous materials";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163965";""
"SR";"CEN/TC 262";"EN 12502-4:2004";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"13503";"00262147";"Voter";"Protection of metallic materials against corrosion - Guidance on the assessment of corrosion likelihood in water distribution and storage systems - Part 4: Influencing factors for stainless steels";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163966";""
"SR";"CEN/TC 262";"EN 12502-5:2004";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"13504";"00262148";"Voter";"Protection of metallic materials against corrosion - Guidance on the assessment of corrosion likelihood in water distribution and storage systems - Part 5: Influencing factors for cast iron, unalloyed and low alloyed steels";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163967";""
"SR";"CEN/TC 274";"EN 12312-14:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"36160";"00274082";"Voter";"Aircraft ground support equipment - Specific requirements - Part 14: Disabled/incapacitated passenger boarding vehicles";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163980";""
